WKT	NAME	NAME_EN	NAME_RU	RAILWAY	GAUGE	SERVICE	BRIDGE	TUNNEL	OSM_TYPE	OSM_ID
"LINESTRING (20.2754291 54.4507519,20.2730763 54.4512272,20.2692997 54.4515266,20.2624332 54.4515266,20.2394843 54.4508076,20.2337658 54.4506284,20.2296459 54.4502292,20.2258694 54.4493309,20.2140247 54.4441406,20.2088749 54.4421441,20.2000141 54.4396434,20.1978163 54.439051,20.1955003 54.4386222,20.1933332 54.4382446,20.1826107 54.4365535,20.1761835 54.4362074,20.1718862 54.4360729,20.1622899 54.43572,20.1532566 54.4354553,20.1391006 54.436163,20.1329586 54.4362811,20.1275431 54.4366191,20.1229935 54.437107,20.119611 54.4369694,20.116248 54.4365815,20.11314 54.4354944,20.0993691 54.4300949,20.0947201 54.4283659,20.089996 54.4272148,20.0846551 54.4256832,20.0821401 54.4246415,20.0794382 54.42415,20.0774564 54.4238983,20.0758559 54.423836)"				abandoned					way	"46963018"
"LINESTRING (20.4706716 54.6971403,20.46943 54.696785,20.4685042 54.6965226,20.4673854 54.6961862,20.4669392 54.696021,20.4661759 54.6957471,20.4654787 54.6955094,20.4650047 54.6953341,20.4627739 54.6945852)"				rail	"1520"	yard			way	"86336467"
"LINESTRING (20.0834111 54.9399992,20.0849335 54.9398371,20.0886079 54.939466,20.0904421 54.9393066,20.1022559 54.9382751,20.1052214 54.9380055,20.1086638 54.9376926,20.1107081 54.9375247,20.111567 54.9375013,20.1122956 54.9375034,20.113037 54.9375254,20.1137711 54.9375681,20.1171435 54.9379263,20.1206112 54.9383625,20.1229057 54.9388826,20.1267768 54.9397648,20.1270844 54.9398065,20.1281696 54.939951,20.1292539 54.9399734,20.1297332 54.9399473,20.1306116 54.9398996,20.1314455 54.9397822,20.1320532 54.939651,20.133145 54.9393456,20.1357513 54.9382667)"				abandoned					way	"185097769"
"LINESTRING (20.5012508 54.6912913,20.5009614 54.691253,20.500609 54.6912569)"				disused					way	"91261691"
"LINESTRING (22.2715366 54.5141886,22.2721401 54.5139753)"				abandoned			yes		way	"211452163"
"LINESTRING (22.1868138 54.5941179,22.1873899 54.5943898)"				rail	"1520"	spur	yes		way	"84126722"
"LINESTRING (20.2076693 54.6923733,20.2099343 54.6919896,20.2163455 54.6908239)"				rail	"1520"	spur			way	"173899882"
"LINESTRING (20.5222156 54.6826962,20.5208386 54.6827074)"	216-218			rail	"1520"	siding			way	"190704391"
"LINESTRING (22.5922223 54.6052708,22.5923543 54.6044878,22.5925668 54.6035333,22.5929938 54.6024544,22.5937942 54.6011282,22.6006465 54.5906502,22.600875 54.5903008,22.6036837 54.5861106,22.6043254 54.5851532,22.6069601 54.5811639,22.6155432 54.5679301,22.6204599 54.5601083,22.6248158 54.5532894,22.6272728 54.550212,22.6285179 54.5486525,22.6291352 54.5478792,22.6298823 54.5469434,22.6301344 54.5466276,22.6316988 54.5445991,22.6325671 54.5434732,22.632739 54.5432503,22.6330526 54.5428437,22.6337589 54.5412585,22.6340678 54.5393814,22.6344312 54.5363621,22.6348947 54.532939,22.6353378 54.5291644,22.6357579 54.5260589,22.6360239 54.5240611,22.6360659 54.5234121,22.6360642 54.5229761,22.6360143 54.5225337,22.6359285 54.5221193,22.6357412 54.5216682,22.6353555 54.5210178,22.634788 54.5201618,22.6338594 54.5190584,22.6325285 54.5173782,22.6312239 54.5158144,22.6304562 54.514855,22.6297615 54.5139606,22.6292251 54.5133135,22.6285905 54.5127156,22.6279639 54.5121538,22.6269275 54.5113964,22.6261116 54.5109081,22.6251256 54.5104425,22.623932 54.5099632,22.6230458 54.5096554,22.6222384 54.5094028,22.621496 54.5092116,22.6207965 54.5090521,22.619877 54.5089014,22.618758 54.5087298,22.6173558 54.5085773,22.6143764 54.5082811)"				disused					way	"210229326"
"LINESTRING (20.5529853 54.577397,20.5533182 54.5776497,20.5548776 54.5787733,20.5563847 54.5798419,20.5576139 54.5807097,20.5591177 54.5817783,20.5603959 54.582699,20.5609223 54.5830931,20.5614551 54.5835099,20.5617003 54.5838206,20.561796 54.5840168,20.5618278 54.584082,20.5618524 54.5841761,20.5618967 54.5843253,20.5619302 54.5844379,20.5620039 54.5846998,20.5620448 54.5848313,20.5620938 54.5850897,20.562073 54.5853779,20.5620519 54.5855248,20.5619663 54.5859392)"				rail	"1520"	spur			way	"178548836"
"LINESTRING (20.4639204 54.9516404,20.4628173 54.9513401)"	39-41			rail	"1520"	crossover			way	"211411273"
"LINESTRING (22.2146629 54.5854357,22.215102 54.5854567)"				rail	"1520"		yes		way	"84132260"
"LINESTRING (20.4968871 54.694213,20.5007336 54.6928592,20.5010601 54.6927339,20.5013592 54.6926023,20.5017008 54.6924009,20.5020067 54.6922233,20.5022295 54.6920822)"				abandoned					way	"236407392"
